id,Month,Wellington,'Enrolments,'Enrolments,GST,'Gross,'Est
153,2005-09-01,279,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
154,2005-10-01,277,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
155,2005-11-01,284,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
156,2005-12-01,280,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
157,2006-01-01,293,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
158,2006-02-01,319,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
159,2006-03-01,306,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
160,2006-04-01,298,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
161,2006-05-01,294,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
162,2006-06-01,245,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
163,2006-07-01,290,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
164,2006-08-01,295,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
165,2006-09-01,305,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
166,2006-10-01,296,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
167,2006-11-01,303,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
168,2006-12-01,307,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
169,2007-01-01,312,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
170,2007-02-01,344,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
171,2007-03-01,340,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
172,2007-04-01,319,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
173,2007-05-01,314,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
174,2007-06-01,324,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
175,2007-07-01,317,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
176,2007-08-01,294,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
177,2007-09-01,317,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
178,2007-10-01,321,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
179,2007-11-01,338,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
180,2007-12-01,338,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
181,2008-01-01,341,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
182,2008-02-01,375,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
183,2008-03-01,364,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
184,2008-04-01,350,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
185,2008-05-01,295,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
186,2008-06-01,344,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
187,2008-07-01,350,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
188,2008-08-01,339,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
